UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
MG,31,15003,Cascalho Rico,3.108
MG,31,15102,Cássia,17.741
MG,31,15201,Conceição da Barra de Minas,3.939
MG,31,15300,Cataguases,75.942
MG,31,15359,Catas Altas,5.465
MG,31,15409,Catas Altas da Noruega,3.665
MG,31,15458,Catuji,6.206
MG,31,15474,Catuti,4.944
MG,31,15508,Caxambu,21.566
MG,31,15607,Cedro do Abaeté,1.150
MG,31,15706,Central de Minas,7.059
MG,31,15805,Centralina,10.343
MG,31,15904,Chácara,3.216
MG,31,16001,Chalé,5.695
MG,31,16100,Chapada do Norte,15.334
MG,31,16159,Chapada Gaúcha,14.217
MG,31,16209,Chiador,2.657
MG,31,16308,Cipotânea,6.811
MG,31,16407,Claraval,4.873
MG,31,16506,Claro dos Poções,7.478
MG,31,16605,Cláudio,29.093
MG,31,16704,Coimbra,7.631
MG,31,16803,Coluna,8.810
MG,31,16902,Comendador Gomes,3.128
MG,31,17009,Comercinho,6.624
MG,31,17108,Conceição da Aparecida,10.351
MG,31,17207,Conceição das Pedras,2.814
MG,31,17306,Conceição das Alagoas,28.782
MG,31,17405,Conceição de Ipanema,4.581
MG,31,17504,Conceição do Mato Dentro,17.438
MG,31,17603,Conceição do Pará,5.558
MG,31,17702,Conceição do Rio Verde,13.729
MG,31,17801,Conceição dos Ouros,11.852
MG,31,17836,Cônego Marinho,7.730
MG,31,17876,Confins,6.867
MG,31,17900,Congonhal,12.209
MG,31,18007,Congonhas,55.836
MG,31,18106,Congonhas do Norte,5.047
MG,31,18205,Conquista,6.997
MG,31,18304,Conselheiro Lafaiete,130.584
MG,31,18403,Conselheiro Pena,22.975
MG,31,18502,Consolação,1.786
MG,31,18601,Contagem,673.849
MG,31,18700,Coqueiral,9.099
MG,31,18809,Coração de Jesus,26.620
MG,31,18908,Cordisburgo,8.903
MG,31,19005,Cordislândia,3.546
MG,31,19104,Corinto,23.607
MG,31,19203,Coroaci,9.897
MG,31,19302,Coromandel,27.958
MG,31,19401,Coronel Fabriciano,110.709
MG,31,19500,Coronel Murta,9.209
MG,31,19609,Coronel Pacheco,3.095
MG,31,19708,Coronel Xavier Chaves,3.448
MG,31,19807,Córrego Danta,3.168
MG,31,19906,Córrego do Bom Jesus,3.685
MG,31,19955,Córrego Fundo,6.425
MG,31,20003,Córrego Novo,2.688
MG,31,20102,Couto de Magalhães de Minas,4.436
MG,31,20151,Crisólita,6.814
MG,31,20201,Cristais,13.060
MG,31,20300,Cristália,5.992
MG,31,20409,Cristiano Otoni,5.161
MG,31,20508,Cristina,10.211
MG,31,20607,Crucilândia,5.072
MG,31,20706,Cruzeiro da Fortaleza,3.651
MG,31,20805,Cruzília,15.529
MG,31,20839,Cuparaque,5.026
MG,31,20870,Curral de Dentro,7.867
MG,31,20904,Curvelo,81.085
MG,31,21001,Datas,5.431
MG,31,21100,Delfim Moreira,8.007
MG,31,21209,Delfinópolis,7.146
MG,31,21258,Delta,10.994
MG,31,21308,Descoberto,5.044
MG,31,21407,Desterro de Entre Rios,7.266
MG,31,21506,Desterro do Melo,2.867
MG,31,21605,Diamantina,47.924
MG,31,21704,Diogo de Vasconcelos,3.779
MG,31,21803,Dionísio,7.493
MG,31,21902,Divinésia,3.430
MG,31,22009,Divino,20.020
MG,31,22108,Divino das Laranjeiras,4.969
MG,31,22207,Divinolândia de Minas,7.655
MG,31,22306,Divinópolis,242.505
MG,31,22355,Divisa Alegre,6.946
MG,31,22405,Divisa Nova,6.039
MG,31,22454,Divisópolis,11.396
MG,31,22470,Dom Bosco,3.635
MG,31,22504,Dom Cavati,5.025
MG,31,22603,Dom Joaquim,4.436
MG,31,22702,Dom Silvério,5.227
