UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
MG,31,59902,Santo Antônio do Amparo,18.697
MG,31,60009,Santo Antônio do Aventureiro,3.602
MG,31,60108,Santo Antônio do Grama,3.861
MG,31,60207,Santo Antônio do Itambé,3.763
MG,31,60306,Santo Antônio do Jacinto,11.570
MG,31,60405,Santo Antônio do Monte,28.603
MG,31,60454,Santo Antônio do Retiro,7.316
MG,31,60504,Santo Antônio do Rio Abaixo,1.756
MG,31,60603,Santo Hipólito,3.044
MG,31,60702,Santos Dumont,46.357
MG,31,60801,São Bento Abade,5.411
MG,31,60900,São Brás do Suaçuí,3.770
MG,31,60959,São Domingos das Dores,5.672
MG,31,61007,São Domingos do Prata,17.296
MG,31,61056,São Félix de Minas,3.354
MG,31,61106,São Francisco,56.625
MG,31,61205,São Francisco de Paula,6.512
MG,31,61304,São Francisco de Sales,6.309
MG,31,61403,São Francisco do Glória,4.758
MG,31,61502,São Geraldo,12.751
MG,31,61601,São Geraldo da Piedade,3.860
MG,31,61650,São Geraldo do Baixio,4.104
MG,31,61700,São Gonçalo do Abaeté,8.527
MG,31,61809,São Gonçalo do Pará,12.776
MG,31,61908,São Gonçalo do Rio Abaixo,11.114
MG,31,62005,São Gonçalo do Sapucaí,25.670
MG,31,62104,São Gotardo,36.084
MG,31,62203,São João Batista do Glória,7.541
MG,31,62252,São João da Lagoa,4.949
MG,31,62302,São João da Mata,2.743
MG,31,62401,São João da Ponte,25.033
MG,31,62450,São João das Missões,13.232
MG,31,62500,São João del Rei,90.897
MG,31,62559,São João do Manhuaçu,11.785
MG,31,62575,São João do Manteninha,5.975
MG,31,62609,São João do Oriente,7.393
MG,31,62658,São João do Pacuí,4.476
MG,31,62708,São João do Paraíso,23.797
MG,31,62807,São João Evangelista,15.761
MG,31,62906,São João Nepomuceno,26.530
MG,31,62922,São Joaquim de Bicas,32.696
MG,31,62948,São José da Barra,7.532
MG,31,62955,São José da Lapa,24.490
MG,31,63003,São José da Safira,4.291
MG,31,63102,São José da Varginha,5.151
MG,31,63201,São José do Alegre,4.222
MG,31,63300,São José do Divino,3.851
MG,31,63409,São José do Goiabal,5.356
MG,31,63508,São José do Jacuri,6.409
MG,31,63607,São José do Mantimento,2.821
MG,31,63706,São Lourenço,46.539
MG,31,63805,São Miguel do Anta,6.949
MG,31,63904,São Pedro da União,4.563
MG,31,64001,São Pedro dos Ferros,7.634
MG,31,64100,São Pedro do Suaçuí,5.160
MG,31,64209,São Romão,12.713
MG,31,64308,São Roque de Minas,7.100
MG,31,64407,São Sebastião da Bela Vista,5.598
MG,31,64431,São Sebastião da Vargem Alegre,3.039
MG,31,64472,São Sebastião do Anta,6.697
MG,31,64506,São Sebastião do Maranhão,9.884
MG,31,64605,São Sebastião do Oeste,6.948
MG,31,64704,São Sebastião do Paraíso,71.915
MG,31,64803,São Sebastião do Rio Preto,1.478
MG,31,64902,São Sebastião do Rio Verde,2.259
MG,31,65008,São Tiago,10.979
MG,31,65107,São Tomás de Aquino,6.980
MG,31,65206,São Tomé das Letras,7.151
MG,31,65305,São Vicente de Minas,7.876
MG,31,65404,Sapucaí-Mirim,7.045
MG,31,65503,Sardoá,6.421
MG,31,65537,Sarzedo,34.050
MG,31,65552,Setubinha,12.493
MG,31,65560,Sem-Peixe,2.579
MG,31,65578,Senador Amaral,5.365
MG,31,65602,Senador Cortes,2.001
MG,31,65701,Senador Firmino,7.902
MG,31,65800,Senador José Bento,1.422
MG,31,65909,Senador Modestino Gonçalves,4.056
MG,31,66006,Senhora de Oliveira,5.786
MG,31,66105,Senhora do Porto,3.516
MG,31,66204,Senhora dos Remédios,10.474
MG,31,66303,Sericita,7.340
MG,31,66402,Seritinga,1.857
MG,31,66501,Serra Azul de Minas,4.292
MG,31,66600,Serra da Saudade,771
MG,31,66709,Serra dos Aimorés,8.725
MG,31,66808,Serra do Salitre,11.750
MG,31,66907,Serrania,7.667
MG,31,66956,Serranópolis de Minas,4.836
MG,31,67004,Serranos,1.949
MG,31,67103,Serro,20.915
MG,31,67202,Sete Lagoas,243.950
MG,31,67301,Silveirânia,2.267
MG,31,67400,Silvianópolis,6.258
MG,31,67509,Simão Pereira,2.621
MG,31,67608,Simonésia,19.834
MG,31,67707,Sobrália,5.476
MG,31,67806,Soledade de Minas,6.226
MG,31,67905,Tabuleiro,3.669
MG,31,68002,Taiobeiras,34.653
MG,31,68051,Taparuba,3.093
MG,31,68101,Tapira,4.890
MG,31,68200,Tapiraí,1.869
MG,31,68309,Taquaraçu de Minas,4.120
MG,31,68408,Tarumirim,14.280
MG,31,68507,Teixeiras,11.680
MG,31,68606,Teófilo Otoni,141.269
MG,31,68705,Timóteo,91.268
MG,31,68804,Tiradentes,8.160
MG,31,68903,Tiros,6.369
MG,31,69000,Tocantins,16.769
MG,31,69059,Tocos do Moji,4.117
MG,31,69109,Toledo,6.336
MG,31,69208,Tombos,7.683
MG,31,69307,Três Corações,80.561
MG,31,69356,Três Marias,33.062
MG,31,69406,Três Pontas,57.127
MG,31,69505,Tumiritinga,6.797
MG,31,69604,Tupaciguara,25.466
MG,31,69703,Turmalina,20.280
MG,31,69802,Turvolândia,5.099
MG,31,69901,Ubá,117.995
MG,31,70008,Ubaí,12.661
MG,31,70057,Ubaporanga,12.514
MG,31,70107,Uberaba,340.277
MG,31,70206,Uberlândia,706.597
MG,31,70305,Umburatiba,2.582
MG,31,70404,Unaí,85.461
MG,31,70438,União de Minas,4.265
MG,31,70479,Uruana de Minas,3.256
MG,31,70503,Urucânia,10.333
MG,31,70529,Urucuia,17.470
MG,31,70578,Vargem Alegre,6.460
MG,31,70602,Vargem Bonita,2.143
MG,31,70651,Vargem Grande do Rio Pardo,5.045
MG,31,70701,Varginha,137.608
MG,31,70750,Varjão de Minas,7.235
MG,31,70800,Várzea da Palma,40.101
MG,31,70909,Varzelândia,19.290
MG,31,71006,Vazante,20.692
MG,31,71030,Verdelândia,9.527
MG,31,71071,Veredinha,5.733
MG,31,71105,Veríssimo,4.090
MG,31,71154,Vermelho Novo,4.852
MG,31,71204,Vespasiano,131.849
MG,31,71303,Viçosa,79.910
MG,31,71402,Vieiras,3.570
MG,31,71501,Mathias Lobato,3.157
MG,31,71600,Virgem da Lapa,13.729
MG,31,71709,Virgínia,8.652
MG,31,71808,Virginópolis,10.459
MG,31,71907,Virgolândia,5.303
MG,31,72004,Visconde do Rio Branco,43.351
MG,31,72103,Volta Grande,5.270
MG,31,72202,Wenceslau Braz,2.543
